2017-04-15,6
2017-04-29,6
2016-07-04,6
2014-07-05,6
2016-09-11,6
2015-11-22,6
2015-07-15,5
2015-08-02,5
2016-06-26,5
2015-04-18,5
2014-02-16,5
2016-11-05,5
2017-08-21,5
2016-07-16,5
2016-06-11,5
2016-10-30,5
2016-02-20,5
2015-07-04,5
2015-06-13,5
2015-05-03,5
2016-09-17,4
2017-04-07,4
2016-04-23,4
2015-09-12,4
2017-07-01,4
2016-11-13,4
2016-08-13,4
2014-08-10,4
2016-06-05,4
2017-06-18,4
2014-08-17,4
2016-07-23,4
2015-04-05,4
2017-05-14,4
2015-05-31,4
2015-07-18,4
2017-10-21,4
2016-08-07,4
2015-09-05,4
2014-08-03,4
2016-02-07,4
2017-09-24,4
2016-08-28,4
2015-09-28,4
2016-12-11,4
2016-05-29,4
2017-09-13,4
2015-05-24,4
2016-07-11,4
2017-11-03,4
2017-04-30,4
2017-11-12,3
2016-11-28,3
2014-05-10,3
2017-01-01,3
2015-06-20,3
2014-04-20,3
2017-06-24,3
2015-12-20,3
2014-03-23,3
2017-04-01,3
2017-01-22,3
2016-06-18,3
2016-11-12,3
2014-08-08,3
2016-04-17,3
2014-06-27,3
2014-12-21,3
2017-06-11,3
2014-02-12,3
2016-07-07,3
2014-10-18,3
2016-06-25,3
2015-08-26,3
2014-12-22,3
2017-08-06,3
2016-05-22,3
2016-07-30,3
2016-06-13,3
2014-07-06,3
2017-11-04,3
2015-08-16,3
2015-02-22,3
2016-03-06,3
2015-09-20,3
2016-09-26,3
2016-11-09,3
2016-07-17,3
2014-04-05,3
2015-06-28,3
2016-04-09,3
2017-03-26,3
2017-04-16,3
2017-07-04,3
2017-05-28,3
2015-08-15,3
2014-05-23,3
2014-07-26,3
2015-01-11,3
2016-04-19,3
2017-06-14,3
2017-03-25,3
2016-08-20,3
2016-04-16,3
2015-05-16,3
2016-12-25,3
2015-07-19,3
2015-10-10,3
2016-06-22,3
2017-07-18,3
2015-09-27,3
2015-08-08,3
2015-06-14,3
2016-07-28,3
2014-08-02,3
2015-05-28,3
2017-08-13,3
2015-05-10,3
2015-10-25,3
2017-11-11,3
2014-11-22,3
2014-06-29,3
2016-05-06,3
2014-08-24,3
2017-06-13,3
2016-10-15,3
2015-09-23,3
2014-01-12,3
2017-02-12,3
2016-07-14,3
2017-07-05,3
2017-05-27,3
2015-08-09,3
2014-07-13,3
2016-10-29,3
2016-04-24,3
2016-09-18,3
2017-09-26,3
2015-07-05,3
2016-02-06,3
