Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
7/3/17,Michigan,Pontiac,50 block of Thorpe St,1,3,N/A
7/2/17,New Jersey,Jersey City,Wilkinson Avenue,0,4,N/A
7/2/17,South Carolina,Greenwood,SC 72 Bypass,0,4,N/A
7/1/17,Illinois,Momence,2727 S 13000 Rd E,0,4,N/A
7/1/17,New Jersey,Newark,Lincoln Park and Pennsylvania Avenue,2,2,N/A
7/1/17,California,Oakland,3200 Humboldt Ave,0,4,N/A
7/1/17,Arkansas,Little Rock,220 W 6th St,0,25,N/A
6/30/17,New York,Bronx,1650 Grand Concourse,2,6,N/A
6/27/17,Illinois,Chicago,200 block of S Lotus,0,5,N/A
6/25/17,District of Columbia,Washington,5900 block of Southern Ave SE,0,4,N/A
6/25/17,Missouri,Saint Louis,5000 block of Thekla Ave,1,3,N/A
6/24/17,Florida,Fort Lauderdale,2335 NW 16th Ct,1,4,N/A
6/24/17,New York,New York (Manhattan),114th St and Manhattan Ave,0,5,N/A
6/24/17,New Jersey,Willingboro,Pastoral Lane,0,4,N/A
6/22/17,Georgia,Atlanta,1100 block of Osborne Street,1,6,N/A
6/18/17,Missouri,Saint Louis,1900 block of N 14th St,3,2,N/A
6/18/17,District of Columbia,Washington,3100 block of Buena Vista Terrace SE,0,4,N/A
6/18/17,Illinois,Chicago,3300 block of W Crystal St,0,4,N/A
6/18/17,South Carolina,Myrtle Beach,311 N Ocean Blvd,0,7,N/A
6/17/17,Ohio,Columbus,6252 Busch Blvd,1,4,N/A
6/17/17,Illinois,Chicago,1 block of North Latrobe,0,4,N/A
6/15/17,Virginia,Richmond,4053 Old Brook Road,1,3,N/A
6/15/17,New Mexico,La Madera,491 NM 111,5,0,N/A
6/14/17,Ohio,Canton,14th St. NE and Gibbs Ave. NE,0,4,N/A
6/14/17,Virginia,Alexandria,420 E Monroe Ave,1,5,N/A
6/14/17,California,San Francisco,720 San Bruno,4,2,N/A
6/13/17,Maryland,Baltimore,3300 block of Ayrdale Avenue,0,4,N/A
6/13/17,Maryland,Baltimore,1200 block of Bonaparte Avenue,2,2,N/A
6/13/17,Missouri,Saint Louis (University City),Ferguson Ave and Plymouth Ave,0,4,N/A
6/11/17,Illinois,Chicago,3300 block of W Douglas Blvd,0,9,N/A
6/11/17,Tennessee,Chattanooga,4272 Bonny Oaks Drive,0,4,N/A
6/11/17,Texas,Houston,505 Cypress Station Dr,0,4,N/A
6/10/17,Tennessee,Memphis,571 East Street,0,4,N/A
6/9/17,Texas,Fort Worth,East Davis Avenue and New York Avenue,2,5,N/A
6/8/17,Louisiana,New Orleans,3650 Franklin Ave,0,6,N/A
6/6/17,Utah,Sandy,2232 Alta Canyon Drive,3,2,N/A
6/5/17,Florida,Orlando,2427 Forsyth Rd,6,0,N/A
6/3/17,Missouri,Saint Louis,1600 Block of Union Blvd,2,2,N/A
6/3/17,Louisiana,New Orleans,3717 Tulane Ave,3,2,N/A
6/2/17,Texas,Laredo,5301 McPherson Rd,2,3,N/A
6/2/17,California,Los Angeles,89th St and Broadway,1,3,N/A
6/1/17,Missouri,Saint Louis,Beacon Ave and Lillian Ave,3,1,N/A
5/30/17,Ohio,Middletown,1200 Elliott Dr,1,3,N/A
5/29/17,Kentucky,Louisville,231 Witherspoon St,1,3,N/A
5/28/17,Alabama,Phenix City,100 block of 6th Street South,0,12,N/A
5/28/17,New Jersey,Paterson,86 Main Street,1,5,N/A
5/28/17,Mississippi,Moss Point,6103 Hwy. 63,0,5,N/A
5/27/17,New York,New York (Manhattan),318 W 14th St,0,4,N/A
5/27/17,District of Columbia,Washington,100 block of Q Street Northwest,1,7,N/A
5/27/17,Mississippi,Bogue Chitto,2871 Lee Drive,8,1,N/A
5/26/17,Florida,Miami,2730 NW 167th St,0,4,N/A
5/21/17,Iowa,Des Moines,4300 Beaver Dr,1,3,N/A
5/21/17,Arizona,Mesa,441 N Val Vista Dr,0,4,N/A
5/20/17,Pennsylvania,Philadelphia,2100 block of W Huntingdon St,0,10,N/A
5/16/17,South Carolina,Ruffin,21785 Lowcountry Hwy,3,1,N/A
5/14/17,Arkansas,Jonesboro,311 S Main St,1,6,N/A
5/14/17,Illinois,Dolton,14112 Chicago Road,0,5,N/A
5/14/17,Florida,Avon Park,Hal McRae Blvd and Delaney Ave,0,5,N/A
5/14/17,Texas,Fort Worth,8600 block of Calmont Ave,0,4,N/A
5/10/17,New Jersey,Trenton,300 block of Centre St,1,3,N/A
5/9/17,Kansas,Kansas City,1900 block of S. Boeke,3,1,N/A
5/7/17,Illinois,Chicago,2600 block of 46th Pl,2,8,N/A
5/4/17,Michigan,Flint,600 block of Copeman Boulevard,1,3,N/A
5/2/17,Florida,Jacksonville,1566 West 24th Street,1,3,N/A
5/1/17,Texas,Dallas,3200 block of Reynolds Ave,2,3,N/A
4/30/17,California,San Diego,9080 Judicial Dr,2,6,N/A
4/30/17,Kansas,Topeka,4104 SW 28th,4,1,N/A
4/30/17,Florida,Jacksonville,1200 Ken Knight Dr N,0,5,N/A
4/30/17,South Carolina,Loris,268 N Sea Green Rd,1,5,N/A
4/29/17,Maryland,Germantown,12800 block of Kitchen House Way,1,3,N/A
4/29/17,California,Los Angeles (Boyle Heights),Murchison St and Lancaster Ave,1,3,N/A
4/29/17,California,Sacramento,3800 block of 26th Avenue,0,5,N/A
4/29/17,California,Whittier,10000 block of Carmentia Rd,1,5,N/A
4/29/17,California,Compton,2000 Block of N Nestor Ave,0,4,N/A
4/29/17,Virginia,Virginia Beach,200 block of 18th St,0,4,N/A
4/28/17,Pennsylvania,Chester,5 E 21st St,0,4,N/A
4/27/17,New Jersey,Newark,1100 block of S Orange Ave,1,3,N/A
4/26/17,Florida,Miami,SW 264th St and 139th Ave,0,4,N/A
4/21/17,Florida,Palm Bay,2500 block of Vernon Dr,2,2,N/A
4/20/17,Kentucky,Louisville,700 block of East Jacob Street,0,4,N/A
4/16/17,California,Vallejo,110 Calhoun Street,0,4,N/A
4/16/17,North Carolina,Elizabeth City,611 S Martin St,0,4,N/A
4/16/17,Ohio,Columbus,1710 Cleveland Av,0,9,N/A
4/15/17,Illinois,Rock Falls,311 W  2nd St,0,4,N/A
4/15/17,Indiana,Indianapolis,300 block of S Meridian St,0,4,N/A
4/15/17,Alabama,Birmingham,1480 Center Point Pkwy,0,6,N/A
4/15/17,Pennsylvania,Philadelphia,5900 block of Hammond Street,0,4,N/A
4/15/17,Illinois,Harvey,14600 block of Myrtle Avenue,0,4,N/A
4/15/17,California,Banning,900 block of N Allen St,0,4,N/A
4/13/17,Georgia,Atlanta,30 Anderson Ave SW,1,3,N/A
4/9/17,Texas,San Antonio,3100 block of Fidelia Drive,1,3,N/A
4/9/17,Indiana,Fort Wayne,9439 Lima Rd,1,3,N/A
4/7/17,North Carolina,Hickory,1423 29th Ave Dr NE,3,1,N/A
4/7/17,Texas,Houston,3829 Mount Pleasant St,5,0,N/A
4/7/17,Minnesota,Saint Paul,1600 block of English St,4,1,N/A
4/7/17,Illinois,Chicago,5600 block of W Lake St,1,5,N/A
4/6/17,Louisiana,Lake Charles,2000 block of Tulip St,1,3,N/A
4/3/17,Pennsylvania,Philadelphia,1100 block of W Stiles St,3,1,N/A
4/3/17,Texas,Lubbock,5401 Ave Q,0,7,N/A
4/2/17,Illinois,Chicago,3500 block of West Van Buren Street,2,4,N/A
4/2/17,Iowa,Des Moines,2500 Martin Luther King Jr. Parkway,0,5,N/A
4/1/17,California,Pittsburg,100 block of Madoline Street,0,5,N/A
4/1/17,Florida,Tampa,219 S Howard Ave,1,4,N/A
4/1/17,Oklahoma,Oklahoma City,1200 block of N Woodward Avenue,2,3,N/A
3/30/17,Illinois,Chicago,2704 E 75th St,4,0,N/A
3/27/17,Florida,Sanford,209 Hays Dr,2,4,N/A
3/26/17,Texas,Houston,5619 Aldine Bender Rd,2,4,N/A
3/26/17,Ohio,Cincinnati,4601 Kellogg Ave,2,15,N/A
3/26/17,Ohio,Cleveland,E 75th St,2,2,N/A
3/25/17,Michigan,Detroit,8443 Grand River Ave,1,3,N/A
3/25/17,Tennessee,Knoxville,Minnesota Avenue,1,4,N/A
3/25/17,Ohio,Cleveland,E 79th St and Woodland Ave,2,2,N/A
3/24/17,California,Fresno,300 block of South Villa Avenue,1,4,N/A
3/24/17,Missouri,Saint Louis,5100 block of Palm St,1,6,N/A
3/22/17,Wisconsin,Rothschild,1133 E Grand Ave,5,0,N/A
3/19/17,Kentucky,Louisville,1512 Portland Avenue,1,5,N/A
3/18/17,Michigan,Detroit,16000 block of Rutherford,3,2,N/A
3/15/17,Louisiana,Metairie,2508 Pasadena Ave,3,1,N/A
3/10/17,Illinois,Chicago,123 E 51st St,2,2,N/A
3/10/17,Louisiana,New Orleans (Gentilly),4200 block of Touro St,3,1,N/A
3/7/17,Illinois,Chicago,West 76th Street and South May streets,0,4,N/A
3/5/17,Georgia,Columbus,600 block of 32nd Street,0,4,N/A
3/4/17,Kansas,Topeka,23rd and Bellview,1,4,N/A
3/4/17,California,Sacramento,2500 block of 33rd St,0,4,N/A
3/3/17,Pennsylvania,Philadelphia,7165 Germantown Ave,0,4,N/A
3/3/17,California,Riverside,8300 block of Trey Ave,0,5,N/A
2/28/17,Ohio,Cincinnati,1700 of Casey Drive,0,6,N/A
2/27/17,Virginia,Newport News,11810 Fountain Way,0,4,N/A
2/26/17,Indiana,Gary,1700 block of Grant St,1,4,N/A
2/25/17,Ohio,Warren,1564 Niles Cortland Rd SE,2,3,N/A
2/25/17,Florida,Jacksonville,3604 Moncrief Rd,1,4,N/A
2/22/17,New York,Rochester,191 Genesee St,0,4,N/A
2/21/17,Ohio,Cleveland,16700 Lorain Ave,0,4,N/A
2/21/17,Mississippi,Toomsuba,Butts Road,4,0,N/A
2/20/17,Ohio,Cleveland,1082 East 105th Street,0,5,N/A
2/19/17,Virginia,Norfolk,Church Street and East Virginia Beach Blvd,1,3,N/A
2/18/17,Pennsylvania,Philadelphia,1 block of N Conestoga,0,4,N/A
2/18/17,Indiana,South Bend,1000 block of Yukon St,1,3,N/A
2/15/17,California,Salinas,30 Soledad Street,0,4,N/A
2/15/17,Illinois,Chicago,3949 South Albany Avenue,3,2,N/A
2/12/17,Missouri,Caruthersville,908 Truman Blvd,1,6,N/A
2/12/17,New York,Newburgh,253 South William Street,1,3,N/A
2/12/17,Florida,Greenville,Church Ave and Obadiah St,0,5,N/A
2/11/17,Tennessee,Savannah,Clifton Road and Midway Drive,0,4,N/A
2/11/17,Illinois,Chicago,100 block of North Mayfield,1,3,N/A
2/10/17,Louisiana,New Orleans,2nd St and Dryades St,1,5,N/A
2/9/17,Mississippi,Jackson,3150 Robinson Road,4,0,N/A
2/8/17,Ohio,Cleveland,16379 Euclid Ave,1,4,N/A
2/7/17,South Carolina,Columbia,5500 block of Fairfield Road,0,4,N/A
2/7/17,Arkansas,Little Rock,25 Par Drive,1,4,N/A
2/6/17,Mississippi,Yazoo City,11th Street,4,0,N/A
1/31/17,Tennessee,Memphis,1576 S White Station Rd,0,4,N/A
1/31/17,District of Columbia,Washington,2900 block of Martin Luther King Jr Ave,0,4,N/A
1/30/17,Minnesota,Minneapolis (Crystal),5410 Lakeland Ave N,0,4,N/A
1/29/17,Louisiana,Shreveport,6363 Hearne Ave,1,4,N/A
1/27/17,Tennessee,Brownsville,221 Morgan St,0,10,N/A
1/26/17,Georgia,Albany,1510 Maryland Drive,2,3,N/A
1/25/17,Illinois,Chicago,500 block of E 75th St,0,6,N/A
1/22/17,Texas,Manvel,200 block of Oak Shore Dr,3,2,N/A
1/22/17,Illinois,Chicago (Englewood),1800 block of W 63rd,0,4,N/A
1/22/17,Georgia,Atlanta,2841 Greenbriar Pkwy SW,3,1,N/A
1/21/17,Georgia,Jonesboro,6510 Tara Blvd,0,6,N/A
1/21/17,Florida,Boynton Beach,500 NE 2nd St,0,5,N/A
1/21/17,Tennessee,Memphis,500 block of Delta Road,2,2,N/A
1/20/17,Mississippi,Como,Smart Road,1,4,N/A
1/20/17,California,Fresno,4700 block of E Montecito Ave,0,4,N/A
1/16/17,Texas,Houston,8535 Martin Luther King Boulevard,0,4,N/A
1/16/17,Florida,Miami,6011 NW 32nd Ave,0,8,N/A
1/15/17,Colorado,Capulin,County Road Y,3,1,N/A
1/15/17,Mississippi,Magnolia,6000 block of Church Road,1,4,N/A
1/12/17,Missouri,Kansas City,8607 E 61st Terrace,3,2,N/A
1/12/17,California,Salinas,500 block of Sunrise St,2,2,N/A
1/11/17,New Jersey,Newark,Hawkins Street and Christie Street,1,3,N/A
1/11/17,Illinois,Chicago,4200 block of S Talman,1,3,N/A
1/7/17,Michigan,Flint,2500 block of Churchill Ave,1,3,N/A
1/6/17,California,Pasadena,100 block of W Claremont St,2,2,N/A
1/6/17,Florida,Fort Lauderdale,100 Terminal Dr,5,6,N/A
1/4/17,California,Fontana,14520 Village Drive,3,1,N/A
1/3/17,Texas,Allen,500 block of Hawthorne Drive,0,4,N/A
1/1/17,Mississippi,Winstonville,114 North Greyer Street,0,5,N/A
1/1/17,Texas,Dallas,9220 Skillman Street,1,3,N/A
1/1/17,Florida,Miami,8000 block of NW 14th Ave,0,7,N/A
